zone_id,timestamp,temperature,humidity,air_pressure,dust_concentration,noise_level,light_intensity
Zone-C,2024-03-01 08:00:00,22.8,50.8,101.34,16.4,63.5,464.0
Zone-B,2024-03-01 08:30:00,18.5,51.9,101.16,21.0,67.2,548.0
Zone-A,2024-03-01 09:00:00,23.1,51.6,101.4,16.7,65.5,469.0
Zone-A,2024-03-01 09:30:00,20.2,51.3,101.56,14.6,65.5,434.0
Zone-B,2024-03-01 10:00:00,21.3,46.3,101.07,15.3,64.8,539.0
Zone-B,2024-03-01 10:30:00,23.1,47.4,100.91,12.2,62.9,528.0
Zone-A,2024-03-01 11:00:00,22.9,49.9,101.45,22.7,64.6,488.0
Zone-C,2024-03-01 11:30:00,20.7,51.0,101.53,13.5,63.8,474.0
Zone-D,2024-03-01 12:00:00,20.3,50.4,101.33,14.9,70.5,520.0
Zone-D,2024-03-01 12:30:00,20.3,51.9,101.23,14.0,64.5,486.0
Zone-B,2024-03-01 13:00:00,22.4,56.3,101.23,15.3,65.7,474.0
Zone-B,2024-03-01 13:30:00,21.4,53.0,101.2,12.3,70.3,440.0
Zone-B,2024-03-01 14:00:00,23.3,49.4,101.06,13.9,64.3,418.0
Zone-B,2024-03-01 14:30:00,22.6,51.0,101.23,16.4,65.6,565.0
Zone-D,2024-03-01 15:00:00,20.4,49.1,101.5,16.6,58.1,417.0
Zone-B,2024-03-01 15:30:00,22.0,54.9,101.21,16.9,65.2,529.0
Zone-B,2024-03-01 16:00:00,23.6,52.8,101.48,13.2,64.5,526.0
Zone-B,2024-03-01 16:30:00,22.7,51.8,100.95,18.6,59.9,462.0
Zone-D,2024-03-01 17:00:00,22.3,49.9,101.58,11.5,63.9,402.0
Zone-C,2024-03-01 17:30:00,22.2,49.4,101.05,18.9,68.2,504.0
Zone-C,2024-03-01 18:00:00,23.7,49.7,101.44,17.6,61.8,522.0
Zone-A,2024-03-01 18:30:00,22.3,46.9,101.04,16.5,64.2,427.0
Zone-B,2024-03-01 19:00:00,22.9,52.8,101.07,15.0,69.6,454.0
Zone-B,2024-03-01 19:30:00,24.6,49.0,101.29,10.8,60.9,467.0
Zone-C,2024-03-01 20:00:00,23.3,57.0,101.82,14.6,63.9,451.0
Zone-B,2024-03-01 20:30:00,23.7,47.8,101.25,16.5,66.4,469.0
Zone-B,2024-03-01 21:00:00,21.9,48.2,101.13,11.9,60.6,518.0
Zone-D,2024-03-01 21:30:00,21.6,46.6,101.05,11.3,63.2,556.0
Zone-D,2024-03-01 22:00:00,21.0,51.7,101.61,15.5,62.7,496.0
Zone-D,2024-03-01 22:30:00,21.9,55.2,100.95,18.3,59.8,541.0
Zone-B,2024-03-01 23:00:00,21.4,55.5,101.43,16.7,62.2,590.0
Zone-C,2024-03-01 23:30:00,26.2,56.0,101.1,14.4,61.4,470.0
Zone-B,2024-03-02 00:00:00,22.4,52.2,101.41,9.8,64.9,526.0
Zone-D,2024-03-02 00:30:00,23.4,51.3,101.4,14.3,65.8,629.0
Zone-D,2024-03-02 01:00:00,23.8,51.1,101.45,15.2,65.2,548.0
Zone-B,2024-03-02 01:30:00,21.1,49.6,101.03,17.3,68.2,530.0
Zone-B,2024-03-02 02:00:00,21.6,49.9,101.33,18.3,68.1,428.0
Zone-B,2024-03-02 02:30:00,20.7,51.3,101.03,17.8,64.2,535.0
Zone-C,2024-03-02 03:00:00,22.1,49.7,101.08,13.4,64.7,493.0
Zone-B,2024-03-02 03:30:00,23.1,48.1,101.29,19.5,67.5,505.0
Zone-A,2024-03-02 04:00:00,19.8,45.9,101.43,17.2,59.2,535.0
Zone-B,2024-03-02 04:30:00,21.2,48.8,101.48,17.2,64.7,534.0
Zone-B,2024-03-02 05:00:00,21.5,47.6,101.55,19.0,63.1,473.0
Zone-B,2024-03-02 05:30:00,23.3,47.9,101.46,11.9,64.1,549.0
Zone-A,2024-03-02 06:00:00,20.5,48.2,101.38,9.6,65.2,558.0
Zone-A,2024-03-02 06:30:00,23.3,49.9,101.3,19.5,69.1,495.0
Zone-C,2024-03-02 07:00:00,21.1,52.6,101.53,19.1,66.8,482.0
Zone-A,2024-03-02 07:30:00,19.5,55.8,101.62,12.7,65.6,489.0
Zone-A,2024-03-02 08:00:00,22.1,48.8,101.44,11.6,63.8,544.0
Zone-D,2024-03-02 08:30:00,19.0,50.9,101.19,19.8,66.0,461.0
Zone-B,2024-03-02 09:00:00,24.2,50.1,101.33,17.7,63.2,572.0
Zone-B,2024-03-02 09:30:00,22.9,48.1,101.21,11.2,65.9,491.0
Zone-B,2024-03-02 10:00:00,22.5,44.9,101.2,12.1,66.5,470.0
Zone-C,2024-03-02 10:30:00,22.7,48.4,101.63,15.2,67.7,494.0
Zone-C,2024-03-02 11:00:00,23.4,47.7,101.29,13.6,70.6,441.0
Zone-B,2024-03-02 11:30:00,25.1,45.9,101.45,13.1,65.8,491.0
Zone-B,2024-03-02 12:00:00,20.8,50.2,101.22,16.7,62.0,524.0
Zone-C,2024-03-02 12:30:00,23.3,49.7,101.04,20.2,66.4,464.0
Zone-D,2024-03-02 13:00:00,22.7,45.0,101.54,21.4,67.5,450.0
Zone-A,2024-03-02 13:30:00,19.0,54.1,101.27,13.8,68.5,470.0
Zone-B,2024-03-02 14:00:00,23.1,50.1,101.35,19.9,63.5,471.0
Zone-A,2024-03-02 14:30:00,21.7,46.4,101.49,17.4,65.0,454.0
Zone-D,2024-03-02 15:00:00,17.9,47.5,101.25,9.3,72.5,521.0
Zone-C,2024-03-02 15:30:00,22.8,49.6,101.45,14.1,64.5,570.0
Zone-C,2024-03-02 16:00:00,23.6,50.0,101.7,14.8,63.5,506.0
Zone-A,2024-03-02 16:30:00,22.5,46.4,101.4,21.3,67.9,533.0
Zone-C,2024-03-02 17:00:00,22.7,47.0,101.1,15.5,63.7,428.0
Zone-C,2024-03-02 17:30:00,21.5,51.4,101.42,12.5,64.9,521.0
Zone-C,2024-03-02 18:00:00,20.1,47.7,101.3,12.3,64.0,625.0
Zone-B,2024-03-02 18:30:00,19.7,54.3,101.37,11.3,67.0,502.0
Zone-D,2024-03-02 19:00:00,23.8,52.0,101.34,14.1,68.5,480.0
Zone-A,2024-03-02 19:30:00,19.9,44.3,101.05,17.4,63.9,461.0
Zone-D,2024-03-02 20:00:00,21.3,52.5,101.43,15.5,63.2,480.0
Zone-C,2024-03-02 20:30:00,21.8,47.3,101.28,12.2,66.1,524.0
Zone-D,2024-03-02 21:00:00,23.7,50.8,101.35,12.5,64.9,449.0
Zone-A,2024-03-02 21:30:00,19.4,49.2,101.2,16.8,62.1,641.0
Zone-B,2024-03-02 22:00:00,21.3,49.8,101.19,17.3,64.4,451.0
Zone-B,2024-03-02 22:30:00,19.2,51.7,101.43,16.0,64.4,484.0
Zone-A,2024-03-02 23:00:00,23.2,49.7,101.52,14.7,64.6,519.0
Zone-A,2024-03-02 23:30:00,24.1,53.5,101.29,13.9,61.4,535.0
Zone-A,2024-03-03 00:00:00,19.3,55.1,101.47,12.8,68.7,527.0
Zone-D,2024-03-03 00:30:00,22.7,49.2,101.41,10.7,65.2,466.0
Zone-C,2024-03-03 01:00:00,21.6,47.9,101.17,18.9,60.7,520.0
Zone-B,2024-03-03 01:30:00,20.3,54.0,101.39,10.8,66.0,465.0
Zone-B,2024-03-03 02:00:00,22.3,46.0,101.55,9.0,62.6,446.0
Zone-B,2024-03-03 02:30:00,22.6,48.5,101.26,13.1,60.9,489.0
Zone-B,2024-03-03 03:00:00,20.0,44.5,101.43,11.3,69.4,571.0
Zone-D,2024-03-03 03:30:00,23.3,46.6,101.72,7.9,62.4,542.0
Zone-B,2024-03-03 04:00:00,23.1,47.8,101.14,14.4,64.7,477.0
Zone-B,2024-03-03 04:30:00,24.5,47.9,101.59,16.2,68.1,425.0
Zone-D,2024-03-03 05:00:00,23.5,53.0,101.17,17.5,60.6,476.0
Zone-D,2024-03-03 05:30:00,23.8,49.5,101.25,19.2,59.1,491.0
Zone-D,2024-03-03 06:00:00,21.9,47.6,101.57,12.3,62.3,376.0
Zone-D,2024-03-03 06:30:00,23.7,49.0,101.23,14.4,68.6,581.0
Zone-B,2024-03-03 07:00:00,19.4,48.6,101.07,14.3,64.7,414.0
Zone-B,2024-03-03 07:30:00,22.6,48.7,101.46,15.1,59.9,531.0
Zone-A,2024-03-03 08:00:00,20.0,46.3,101.24,14.1,59.7,493.0
Zone-D,2024-03-03 08:30:00,21.9,49.6,100.96,15.4,66.9,433.0
Zone-A,2024-03-03 09:00:00,20.4,52.4,101.62,14.5,63.7,510.0
Zone-D,2024-03-03 09:30:00,24.0,47.4,101.2,13.5,60.7,543.0
Zone-D,2024-03-03 10:00:00,22.4,43.9,101.3,20.0,65.8,580.0
Zone-C,2024-03-03 10:30:00,21.2,52.9,101.56,14.8,63.8,555.0
Zone-D,2024-03-03 11:00:00,22.8,52.9,101.38,14.8,64.7,482.0
