material_batch_id,supplier,material_type,carbon_content,silicon_content,manganese_content,phosphorus_content,sulfur_content,raw_hardness,tensile_strength,inspection_date,material_status,risk_reason,storage_temperature,storage_humidity
MBATCH-0001,B,HT250,3.21,2.095,0.648,0.065,0.023,190.1,246.7,2024-04-23,NORMAL,,22.3,57.4
MBATCH-0002,B,QT500,3.553,2.381,0.602,0.06,0.026,171.6,457.3,2024-04-03,NORMAL,,22.0,49.7
MBATCH-0003,C,HT250,3.333,2.081,0.571,0.042,0.019,172.6,237.0,2024-03-23,NORMAL,,20.2,45.8
MBATCH-0004,C,QT450,3.424,2.432,0.502,0.043,0.019,191.5,445.1,2024-05-05,NORMAL,,21.7,49.6
MBATCH-0005,B,QT450,3.318,2.453,0.631,0.058,0.033,167.0,420.2,2024-04-10,NORMAL,,23.4,48.3
MBATCH-0006,B,HT250,3.101,2.077,0.569,0.067,0.031,163.6,227.9,2024-05-30,NORMAL,,20.5,46.6
MBATCH-0007,A,QT450,3.422,2.384,0.578,0.036,0.015,195.5,442.9,2024-05-08,NORMAL,,21.2,42.4
MBATCH-0008,C,QT500,3.454,2.077,0.63,0.058,0.014,167.8,472.7,2024-05-02,RISK,硅含量偏低,23.7,48.7
MBATCH-0009,A,QT500,3.585,2.304,0.538,0.034,0.022,182.2,439.6,2024-04-04,NORMAL,,20.4,62.1
MBATCH-0010,A,HT250,3.174,2.211,0.593,0.045,0.027,187.9,249.6,2024-05-22,NORMAL,,24.3,62.6
MBATCH-0011,B,HT250,3.127,2.138,0.58,0.041,0.015,195.9,222.6,2024-03-14,NORMAL,,23.0,45.9
MBATCH-0012,B,QT450,3.677,2.378,0.582,0.066,0.024,185.5,466.1,2024-03-05,NORMAL,,19.8,53.7
MBATCH-0013,A,QT450,3.48,2.429,0.624,0.039,0.023,178.1,425.2,2024-03-27,NORMAL,,21.7,50.1
MBATCH-0014,C,HT250,3.259,1.909,0.619,0.045,0.024,180.0,245.0,2024-03-27,NORMAL,,21.6,51.7
MBATCH-0015,C,QT500,3.591,2.329,0.583,0.065,0.018,183.7,425.3,2024-04-15,NORMAL,,18.6,44.8
MBATCH-0016,C,HT300,3.131,2.183,0.657,0.031,0.017,187.0,248.4,2024-03-28,NORMAL,,25.0,53.4
MBATCH-0017,B,QT450,3.473,2.386,0.597,0.042,0.025,187.4,459.1,2024-04-30,NORMAL,,22.5,44.9
MBATCH-0018,B,HT250,3.25,2.11,0.7,0.037,0.016,164.1,246.7,2024-04-02,NORMAL,,18.5,55.9
MBATCH-0019,A,HT300,3.309,2.087,0.549,0.035,0.016,186.3,238.2,2024-03-02,NORMAL,,25.8,57.5
MBATCH-0020,C,HT250,3.2,2.063,0.572,0.066,0.017,189.3,250.3,2024-03-15,NORMAL,,23.4,45.9
MBATCH-0021,B,HT300,3.167,2.098,0.568,0.062,0.016,174.2,270.4,2024-05-05,NORMAL,,24.3,57.9
MBATCH-0022,C,QT500,3.309,2.416,0.605,0.044,0.022,176.8,453.2,2024-03-24,NORMAL,,28.8,51.6
MBATCH-0023,C,HT300,3.236,2.166,0.609,0.039,0.012,179.7,246.0,2024-04-14,NORMAL,,18.1,58.1
MBATCH-0024,B,HT300,3.211,2.215,0.488,0.065,0.018,192.6,253.2,2024-03-06,NORMAL,,22.9,52.3
MBATCH-0025,B,HT250,3.157,2.048,0.582,0.035,0.018,173.0,227.6,2024-05-23,NORMAL,,22.9,50.0
MBATCH-0026,A,HT300,3.225,2.156,0.588,0.041,0.022,150.8,248.4,2024-03-11,NORMAL,,23.5,55.2
MBATCH-0027,C,HT250,3.147,1.921,0.468,0.056,0.018,200.2,228.8,2024-04-15,NORMAL,,22.7,58.3
MBATCH-0028,B,QT500,3.521,2.273,0.739,0.066,0.019,188.2,466.6,2024-03-18,NORMAL,,23.3,43.1
MBATCH-0029,A,QT450,3.532,2.517,0.625,0.054,0.017,171.0,418.5,2024-04-05,NORMAL,,23.5,48.9
MBATCH-0030,A,HT250,3.066,2.178,0.571,0.041,0.018,178.1,256.9,2024-03-08,NORMAL,,20.2,55.1
MBATCH-0031,C,QT500,3.548,2.359,0.592,0.046,0.02,195.2,441.3,2024-05-30,NORMAL,,22.4,46.5
MBATCH-0032,B,HT250,3.253,2.122,0.666,0.042,0.023,192.6,243.4,2024-05-12,NORMAL,,21.7,51.0
MBATCH-0033,A,HT300,3.176,2.114,0.634,0.049,0.019,182.7,244.0,2024-04-04,NORMAL,,21.3,45.5
MBATCH-0034,B,HT300,3.196,2.136,0.587,0.042,0.02,184.0,251.9,2024-05-10,NORMAL,,26.5,46.7
MBATCH-0035,C,HT250,3.185,1.762,0.565,0.069,0.02,185.6,250.3,2024-05-01,RISK,硅含量偏低,24.0,44.7
MBATCH-0036,C,QT450,3.657,2.019,0.633,0.043,0.022,170.3,473.5,2024-05-21,RISK,硅含量偏低,19.4,50.8
MBATCH-0037,A,HT300,3.161,1.975,0.553,0.054,0.016,173.3,255.6,2024-04-05,NORMAL,,23.8,53.3
MBATCH-0038,C,QT500,3.495,2.017,0.606,0.04,0.021,169.5,462.3,2024-05-11,RISK,硅含量偏低,22.3,39.2
MBATCH-0039,B,HT300,3.298,2.058,0.57,0.06,0.019,186.0,240.2,2024-04-19,NORMAL,,23.6,51.0
MBATCH-0040,B,QT500,3.54,2.386,0.681,0.069,0.009,189.3,428.4,2024-03-27,NORMAL,,23.0,41.1
MBATCH-0041,A,HT300,3.24,2.033,0.577,0.046,0.016,172.9,244.0,2024-04-17,NORMAL,,21.7,51.6
