record_id,batch_id,timestamp,heating_temperature,forming_pressure,spindle_speed,coolant_flow,vibration_amplitude,current_intensity,mold_temperature,feed_rate,lubricant_flow,clamp_force,equipment_id,operator_id
REC-000001,BATCH-20240301-001,2024-03-01 08:00:00,852.5,119.7,1532.0,26.8,,44.6,184.7,308.0,14.6,81.1,EQ-B01,OP-002
REC-000002,BATCH-20240301-001,2024-03-01 08:05:00,847.7,118.8,1512.0,22.7,1.98,44.2,177.0,303.0,14.3,77.2,EQ-A01,OP-005
REC-000003,BATCH-20240301-001,2024-03-01 08:10:00,857.3,119.4,1503.0,23.3,,45.2,176.5,304.0,14.5,79.4,EQ-A02,OP-002
REC-000004,BATCH-20240301-001,2024-03-01 08:15:00,847.0,124.6,1499.0,23.7,,43.2,180.6,280.0,13.9,80.4,EQ-A02,OP-005
REC-000005,BATCH-20240301-001,2024-03-01 08:20:00,853.7,120.4,1494.0,24.6,2.06,43.9,178.6,311.0,15.3,76.5,EQ-B01,OP-001
REC-000006,BATCH-20240301-001,2024-03-01 08:25:00,851.6,119.0,1466.0,25.7,2.81,46.4,177.5,297.0,15.3,82.0,EQ-B02,OP-003
REC-000007,BATCH-20240301-001,2024-03-01 08:30:00,847.6,119.5,1445.0,23.6,2.74,47.0,179.8,310.0,15.3,78.7,EQ-B01,OP-001
REC-000008,BATCH-20240301-001,2024-03-01 08:35:00,851.8,123.8,1498.0,26.9,1.71,46.2,180.3,297.0,15.1,76.0,EQ-B01,OP-005
REC-000009,BATCH-20240301-001,2024-03-01 08:40:00,848.9,120.9,1574.0,24.4,,44.2,182.7,303.0,14.6,81.0,EQ-B02,OP-005
REC-000010,BATCH-20240301-001,2024-03-01 08:45:00,850.5,122.4,1465.0,24.6,2.38,42.8,180.9,303.0,15.0,79.5,EQ-A01,OP-005
REC-000011,BATCH-20240301-002,2024-03-01 08:50:00,842.9,118.9,1483.0,24.0,2.45,45.6,185.7,302.0,15.2,79.9,EQ-B01,OP-005
REC-000012,BATCH-20240301-002,2024-03-01 08:55:00,840.4,119.9,1503.0,28.0,2.44,45.5,179.9,288.0,15.9,81.5,EQ-A02,OP-003
REC-000013,BATCH-20240301-002,2024-03-01 09:00:00,854.0,117.7,1570.0,23.3,2.68,48.3,177.0,294.0,15.1,79.0,EQ-A01,OP-004
REC-000014,BATCH-20240301-002,2024-03-01 09:05:00,842.2,120.2,1447.0,25.6,2.22,47.3,177.7,297.0,15.7,77.5,EQ-B01,OP-002
REC-000015,BATCH-20240301-002,2024-03-01 09:10:00,851.1,123.3,1420.0,25.2,2.58,46.2,176.3,287.0,15.4,80.6,EQ-B01,OP-001
REC-000016,BATCH-20240301-002,2024-03-01 09:15:00,851.3,120.9,1466.0,25.3,2.59,43.9,185.6,305.0,14.0,81.3,EQ-A02,OP-002
REC-000017,BATCH-20240301-002,2024-03-01 09:20:00,845.1,122.0,1558.0,24.0,2.79,45.6,182.5,319.0,14.8,78.5,EQ-A02,OP-003
REC-000018,BATCH-20240301-002,2024-03-01 09:25:00,845.6,118.0,1496.0,25.4,2.58,46.2,180.0,315.0,14.8,85.4,EQ-A02,OP-001
REC-000019,BATCH-20240301-002,2024-03-01 09:30:00,853.1,117.9,1446.0,25.6,2.43,46.1,181.4,299.0,14.3,77.0,EQ-A01,OP-002
REC-000020,BATCH-20240301-002,2024-03-01 09:35:00,847.8,122.1,1511.0,23.5,2.55,45.6,177.3,302.0,15.0,77.7,EQ-B01,OP-002
REC-000021,BATCH-20240301-003,2024-03-01 09:40:00,851.8,121.4,1554.0,26.3,2.09,43.6,181.5,305.0,15.4,87.7,EQ-B02,OP-002
REC-000022,BATCH-20240301-003,2024-03-01 09:45:00,852.9,122.8,1548.0,25.8,2.41,46.1,177.7,298.0,14.6,80.2,EQ-B01,OP-005
REC-000023,BATCH-20240301-003,2024-03-01 09:50:00,861.6,115.3,1534.0,23.1,2.36,46.6,180.2,289.0,14.4,81.4,EQ-B01,OP-002
REC-000024,BATCH-20240301-003,2024-03-01 09:55:00,846.3,120.5,1502.0,24.2,3.14,46.0,173.9,302.0,14.5,81.7,EQ-B02,OP-001
REC-000025,BATCH-20240301-003,2024-03-01 10:00:00,846.0,119.7,1525.0,26.0,2.14,44.5,178.6,293.0,16.4,80.8,EQ-A02,OP-002
REC-000026,BATCH-20240301-003,2024-03-01 10:05:00,843.7,122.3,1606.0,26.2,2.04,44.3,183.8,293.0,15.4,81.5,EQ-A01,OP-004
